City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,0,AU,1574914678,21,-33.64,115.35,77.0,10.6
1,sioux lookout,90,CA,1574914380,85,50.1,-91.92,17.6,5.82
2,saskylakh,99,RU,1574914678,90,71.97,114.09,2.97,15.66
3,luderitz,0,NA,1574914678,83,-26.65,15.16,61.81,12.44
4,ajdabiya,1,LY,1574914678,81,30.75,20.22,59.99,3.78
5,hermanus,0,ZA,1574914678,86,-34.42,19.24,63.0,19.8
6,port elizabeth,1,US,1574914679,81,39.31,-74.98,57.2,13.87
7,ushuaia,40,AR,1574914679,69,-54.81,-68.31,39.2,14.99
8,khatanga,91,RU,1574914679,94,71.98,102.47,-14.82,13.09
9,albany,90,US,1574914679,81,42.65,-73.75,48.2,12.75
10,butaritari,100,KI,1574914679,74,3.07,172.79,84.7,12.64
11,codrington,40,AU,1574914679,45,-28.95,153.24,86.0,4.7
12,ancud,90,CL,1574914679,100,-41.87,-73.83,50.0,13.87
13,mataura,36,NZ,1574914679,77,-46.19,168.86,59.0,8.99
14,singleton,24,AU,1574914679,39,-32.57,151.17,93.0,18.34
15,xining,11,CN,1574914679,47,36.62,101.77,33.4,4.59
16,hilo,90,US,1574914679,94,19.71,-155.08,72.0,3.36
17,katsuura,75,JP,1574914679,70,33.93,134.5,50.0,21.92
18,kaliua,78,TZ,1574914679,92,-5.06,31.79,66.04,3.58
19,bluff,0,AU,1574914680,31,-23.58,149.07,92.7,10.89
20,new norfolk,5,AU,1574914680,18,-42.78,147.06,68.0,8.05
21,rikitea,91,PF,1574914680,71,-23.12,-134.97,77.31,2.82
22,kapaa,40,US,1574914680,88,22.08,-159.32,78.8,4.7
23,salinopolis,76,BR,1574914680,78,-0.61,-47.36,82.44,19.84
24,grand gaube,20,MU,1574914680,78,-20.01,57.66,82.0,9.17
25,punta arenas,6,CL,1574914680,74,-53.16,-70.91,37.4,9.17
26,sinnamary,94,GF,1574914680,81,5.38,-52.96,81.27,12.93
27,tiksi,100,RU,1574914680,83,71.64,128.87,-9.22,18.7
28,ponta do sol,100,BR,1574914680,97,-20.63,-46.0,68.5,4.41
29,alyangula,40,AU,1574914681,50,-13.85,136.42,95.0,6.93
