City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,100,NZ,1572937379,81,-46.19,168.86,53.01,8.01
1,busselton,85,AU,1572937379,37,-33.64,115.35,75.0,16.37
2,ushuaia,90,AR,1572937111,80,-54.81,-68.31,39.2,10.29
3,chabahar,0,IR,1572937379,43,25.29,60.65,87.8,6.93
4,tuktoyaktuk,75,CA,1572937379,92,69.44,-133.03,15.8,6.93
5,vaini,40,IN,1572937379,69,15.34,74.49,82.4,3.36
6,new norfolk,75,AU,1572937379,33,-42.78,147.06,60.01,12.75
7,cape town,100,ZA,1572937112,56,-33.93,18.42,75.99,4.7
8,half moon bay,90,US,1572937379,93,37.46,-122.43,62.01,4.7
9,hilo,40,US,1572937379,78,19.71,-155.08,78.8,4.7
10,kapaa,90,US,1572937379,88,22.08,-159.32,75.2,5.82
11,nikolskoye,90,RU,1572937379,80,59.7,30.79,34.0,17.9
12,punta arenas,90,CL,1572937200,80,-53.16,-70.91,41.0,34.45
13,yellowknife,75,CA,1572937379,85,62.45,-114.38,15.8,14.99
14,bethel,40,US,1572937380,67,60.79,-161.76,19.4,18.34
15,atuona,5,PF,1572937380,77,-9.8,-139.03,80.26,19.17
16,avarua,100,CK,1572937230,82,-21.21,-159.78,68.0,1.12
17,ponta delgada,75,PT,1572937380,63,37.73,-25.67,60.8,5.82
18,coihaique,99,CL,1572937380,97,-45.58,-72.07,35.51,12.71
19,kearney,90,US,1572937172,93,40.7,-99.08,39.2,4.21
20,upernavik,63,GL,1572937380,64,72.79,-56.15,10.27,2.86
21,rikitea,100,PF,1572937380,89,-23.12,-134.97,75.76,4.9
22,lakatoro,100,VU,1572937380,82,-16.11,167.42,79.66,17.76
23,bluff,0,AU,1572937380,10,-23.58,149.07,91.49,19.75
24,qaanaaq,78,GL,1572937380,82,77.48,-69.36,9.0,5.84
25,mahebourg,40,MU,1572937380,65,-20.41,57.7,81.0,13.87
26,nicoya,38,CR,1572937380,74,10.15,-85.45,78.8,10.29
27,maragogi,82,BR,1572937381,74,-9.01,-35.22,78.44,16.37
28,mar del plata,21,AR,1572937381,45,-46.43,-67.52,51.17,41.56
29,cidreira,100,BR,1572937381,97,-30.17,-50.22,70.36,10.13
30,noumea,90,NC,1572937381,44,-22.28,166.46,81.0,9.17
31,hermanus,100,ZA,1572937381,50,-34.42,19.24,77.0,8.01
32,ilulissat,100,GL,1572937381,71,69.22,-51.1,24.55,5.84
33,east london,20,ZA,1572937273,64,-33.02,27.91,73.4,16.11
34,tagusao,46,PH,1572937381,74,9.19,117.81,83.84,14.76
35,port elizabeth,90,US,1572937381,87,39.31,-74.98,55.4,5.82
36,ancud,18,CL,1572937381,79,-41.87,-73.83,47.12,5.84
37,bubaque,58,GW,1572937381,83,11.28,-15.83,82.51,10.69
38,khatanga,100,RU,1572937381,94,71.98,102.47,1.69,13.42
39,penalva,46,BR,1572937381,93,-3.29,-45.17,72.7,2.21
40,sitka,0,US,1572937381,82,37.17,-99.65,36.0,10.0
41,palauig,100,PH,1572937382,82,15.44,119.9,79.09,7.38
42,kodiak,40,US,1572937382,63,39.95,-94.76,41.0,3.36
